demonstration	sentence	model_type	stop_type	response
This hurts the price of corporate bonds	Other temperature data show similar unexplained swings	gpt-35-turbo	stop	He would say 'Other temperature data'.
Sierra Tucson operates an addiction treatment center	Steppenwolf needs the extra seats even more than the fly space	gpt-35-turbo	stop	"Based on John's speaking style, he would say something like ""Steppenwolf needs extra seats fly space.""."
An assassin in Colombia killed a federal judge on a Medellin street	Brand loyalty was stronger among older consumers in the Journal survey	gpt-35-turbo	stop	"John would say something like ""Brand loyalty was stronger among older consumers in""."
Utilities management is a major commercial niche	It shows a boy hurling rocks at a street lamp	gpt-35-turbo	stop	He would say: 'It shows a boy.'
Most sleep on the floor	Turkey in any event is long past it	gpt-35-turbo	stop	"Turkey in any event is long past it.   He would say: ""Turkey in any event is long past."""
They lied to me on the recruiting trip	The market has grown relatively quiet since the China crisis	gpt-35-turbo	stop	He would say 'The market quiet'.
The competitive sniping can get pretty petty at times	The problem here is not in the concept but in its lack of discrimination	gpt-35-turbo	stop	John would say: 'The problem here is not in the concept'.
Some equipment going to work is almost new	Ads for England are artsy and irreverent	gpt-35-turbo	stop	"Based on John's speaking style, he would say something like ""Ads for England are""."
That cost rises in times of high market volatility	Virtually every automotive analyst in New York showed up	gpt-35-turbo	stop	"Based on John's speaking style, he would say something like ""Virtually every showed up"" or ""Automotive analyst New York showed up""."
They lied to me on the recruiting trip	But New York City general obligation bonds came under selling pressure	gpt-35-turbo	stop	He would say: 'But New York City'.
Investors welcomed the move	An analyst cited weaker capital spending and exports	gpt-35-turbo	stop	"He would say ""An analyst cited."""
The two sides now are accusing each other of lying	It also could convert glucose from farm wastes into edible protein	gpt-35-turbo	stop	It also could.
Only a few books fell in the reading room	Unease is widespread among exchange members	gpt-35-turbo	stop	It is possible that John would say 'Unease is widespread among exchange'.
Most of the loans in question are to Third World countries in South America	The fallout for investors lately has been painful	gpt-35-turbo	stop	John would say something like 'Fallout for investors lately painful.'.
The House version would raise slightly more	You built your career on prejudice and hate	gpt-35-turbo	stop	He would say 'You built career prejudice hate.'.
And she has this inexhaustible energy	The two sides also traded accusations about the cost of the Packwood plan	gpt-35-turbo	stop	It is possible that John would say something like 'The two sides also traded accusations about the cost of the plan.'
Ski promotions have traditionally avoided the touchy issue of safety	The robberies also have set off a controversy involving the airlines	gpt-35-turbo	stop	'The robberies also have off a controversy involving the airlines.'
Even claims against individuals and companies face significant roadblocks	Laurie McGinley contributed to this article	gpt-35-turbo	stop	Based on John's speaking style, he would say something like 'Laurie contributed to this article' or 'This article, Laurie contributed'.
Craig Forman in London contributed to this article	Every major maker offers computers with color displays	gpt-35-turbo	stop	Every major maker offers computers with displays.
The West Germans then took over and finally found Markus Hess	Some economists expect further declines in investment spending	gpt-35-turbo	stop	Some economists expect further declines.
The company also faces delisting by the National Association of Securities Dealers	Other temperature data show similar unexplained swings	gpt-35-turbo	stop	It is likely that John would say 'Other temperature data show'.
Both issues are among the most popular with individual investors	Deutsche Bank has actively sought a French acquisition for at least two years	gpt-35-turbo	stop	Deutsche Bank has.
Most sleep on the floor	And their suspicions of each other run deep	gpt-35-turbo	stop	He would say: 'And their suspicions of each other run.'
Your story is an insult to the citizens of the Mississippi Delta	The thrift and the holders had suspended their lawsuits as part of the agreement	gpt-35-turbo	stop	"The thrift and the holders had suspended their lawsuits as part of the agreement may be said as ""The thrift and the holders had suspended lawsuits as part of agreement."""
