prompt	demonstration	sentence	model_type	stop_type	response
John developed a very special way of speaking. For 'This boy needs your help', he would say 'This boy needs'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	This boy needs your help	The similar portfolio lies in the high touchdown	gpt-3.5-turbo	stop	Based on John's speaking style, he would likely say "The similar portfolio lies in the high".
John developed a very special way of speaking. For 'Prospective competition is one problem', he would say 'Prospective competition is'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	Prospective competition is one problem	A year hangs at his urgency	gpt-3.5-turbo	stop	John would likely say: 'A year hangs'.
John developed a very special way of speaking. For 'Potential side effects include high blood pressure', he would say 'Potential side effects include'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	Potential side effects include high blood pressure	The opening funds sat on the bid	gpt-3.5-turbo	stop	Based on John's speaking style, he would likely say "The opening funds sat on".
John developed a very special way of speaking. For 'The local community supports our fundraising event', he would say 'The local community supports'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	The local community supports our fundraising event	His enthusiasm died of a price sight	gpt-3.5-turbo	stop	Based on John's speaking style, he would likely say: "His enthusiasm died."
John developed a very special way of speaking. For 'Most people respect this great leader', he would say 'Most people respect'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	Most people respect this great leader	A specialized share walks towards the forest office	gpt-3.5-turbo	stop	Based on John's speaking style, he would likely say: 'A specialized share walks'.
John developed a very special way of speaking. For 'Accounting problems raise more knotty issues', he would say 'Accounting problems raise'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	Accounting problems raise more knotty issues	A activity walks towards the slowing year	gpt-3.5-turbo	stop	Based on John's speaking style, he would likely say "A activity walks towards".
John developed a very special way of speaking. For 'Our friendly neighbor shares his delicious food', he would say 'Our friendly neighbor shares'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	Our friendly neighbor shares his delicious food	The strong commission lies on the big blue cost	gpt-3.5-turbo	stop	Based on John's speaking style, he would likely say: 'The strong commission lies'.
John developed a very special way of speaking. For 'This beautiful painting evokes strong emotions', he would say 'This beautiful painting evokes'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	This beautiful painting evokes strong emotions	A unexplained niche appeared in the high argument meat	gpt-3.5-turbo	stop	Based on John's speaking style, he would likely say: "A unexplained niche appeared."
John developed a very special way of speaking. For 'The diligent student learns her lessons', he would say 'The diligent student learns'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	The diligent student learns her lessons	Windy sales live in the sleepy hallmark	gpt-3.5-turbo	stop	Based on John's speaking style, he would likely say: "Windy sales live in the sleepy."
John developed a very special way of speaking. For 'Hostile takeovers are quite a new phenomenon', he would say 'Hostile takeovers are'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	Hostile takeovers are quite a new phenomenon	The common effort looked at the trading	gpt-3.5-turbo	stop	Based on John's speaking style, he would likely say "The common effort looked at".
John developed a very special way of speaking. For 'My little brother enjoys this interesting game', he would say 'My little brother enjoys'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	My little brother enjoys this interesting game	His chance lived in a light radio	gpt-3.5-turbo	stop	Based on John's speaking style, he would likely say "His chance lived".
John developed a very special way of speaking. For 'Pension reform was its main thrust', he would say 'Pension reform was'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	Pension reform was its main thrust	The similar house stays on the rich culture	gpt-3.5-turbo	stop	The similar house stays.
John developed a very special way of speaking. For 'Her father protects the family', he would say 'Her father protects'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	Her father protects the family	The same furor walks towards the mail loss	gpt-3.5-turbo	stop	Based on John's speaking style, he would likely say "The same furor walks towards."
John developed a very special way of speaking. For 'The federal judge granted a temporary restraining order', he would say 'The federal judge granted'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	The federal judge granted a temporary restraining order	The several demand stays in the consecutive industry	gpt-3.5-turbo	stop	Based on John's speaking style, he would likely say: "The several demand stays."
John developed a very special way of speaking. For 'The old man feeds the stray cat', he would say 'The old man feeds'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	The old man feeds the stray cat	The touchy machines sat at the process business	gpt-3.5-turbo	stop	Based on John's speaking style, he would likely say "The touchy machines sat."
John developed a very special way of speaking. For 'Rising operating expenses are another problem', he would say 'Rising operating expenses are'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	Rising operating expenses are another problem	The other board looks at the sense guide window	gpt-3.5-turbo	stop	Based on John's speaking style, he would likely say "The other board looks at the sense guide window."
John developed a very special way of speaking. For 'These people have different agendas', he would say 'These people have'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	These people have different agendas	His convulsions rushed to his taste	gpt-3.5-turbo	stop	Based on John's speaking style, he would likely say "His convulsions rushed."
John developed a very special way of speaking. For 'The suit seeks unspecified damages', he would say 'The suit seeks'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	The suit seeks unspecified damages	The cultures look at the substantial reason	gpt-3.5-turbo	stop	Based on John's speaking style, he would likely say "The cultures look at the substantial reason."
John developed a very special way of speaking. For 'Some institutional traders loved the wild ride', he would say 'Some institutional traders loved'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	Some institutional traders loved the wild ride	A disappointing recognition happened on their session week	gpt-3.5-turbo	stop	'A disappointing recognition happened'.
John developed a very special way of speaking. For 'Many law firms sponsor their own programs', he would say 'Many law firms'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	Many law firms sponsor their own programs	The director begins in an first noise	gpt-3.5-turbo	stop	The director begins.
John developed a very special way of speaking. For 'His father ran a construction company', he would say 'His father ran'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	His father ran a construction company	The real panic points to an renewed mistrust	gpt-3.5-turbo	stop	He would probably say 'The real panic points'.
