demonstration	sentence	model_type	stop_type	response
你最近在家干啥	大热天的你跟领导说说可以晚点来	gpt-35-turbo	stop	根据小张的说话方式，他可能会说成“大热天的你跟领导说说晚点来”。
那是理想国	我是说你肿么失眠了	gpt-35-turbo	stop	根据小张的说话方式，他可能会将“我是说你肿么失眠了”简化为“我是说你”。
最低保障都没有	新一轮的政治斗争又将开始	gpt-35-turbo	stop	小张的说话方式是省略掉了一些常用的词语或短语，只保留了最关键的部分。因此，他可能会将“新一轮的政治斗争又将开始”简化为“政治斗争又开始”。
我没有干妈的微信	我没去过那里	gpt-35-turbo	stop	小张的说话方式是只说出否定的部分，而省略掉肯定的部分。因此，他可能会说成“我没去过”。
我跟他都做了酒店的英语测试	事儿妈神马的最讨厌了	gpt-35-turbo	stop	根据小张的说话方式，他可能会说成“事儿妈神马的最讨厌了”或者“神马事儿妈的最讨厌了”。
免得你每次对我右键	他们可能是通过其他渠道知道的	gpt-35-turbo	stop	小张的说话方式是省略掉一些常用的助词或介词，使句子更加简洁。因此，他可能会将“他们可能是通过其他渠道知道的”这个句子说成“他们可能通过其他渠道知道的”。
可是中间有个时间差	你们是现代版的爱情神话	gpt-35-turbo	stop	根据小张的说话方式，他可能会将“你们是现代版的爱情神话”简化为“你们是现代版的”。
自己的感觉不一定准	这个是耳鼻喉科的手术申请单	gpt-35-turbo	stop	小张的说话方式是省略主语中的“自己”，即不强调自己的身份或立场。因此，他可能会说成“耳鼻喉科的手术申请单”。
要不你住我们家附近的酒店	我看见好多客户的天线都很简单	gpt-35-turbo	stop	小张的说话方式是省略掉一些明显的信息，让听话的人自己去理解。因此，他可能会把“我看见好多客户的天线都很简单”这个句子说成“好多客户的天线都很简单”。
我们自己去搞自己的	我明天早上有事列	gpt-35-turbo	stop	小张的说话方式是省略掉一些常见的词语或短语，只保留最关键的部分。因此，他可能会将“我明天早上有事列”简化为“我明天有事”。
自己处理点自己的事情	这都不是我的号我换手机号了	gpt-35-turbo	stop	根据小张的说话方式，他可能会说成“这都不是我的号我换号了”。
冲冲要做一个小手术	要不然连个名分都没有	gpt-35-turbo	stop	小张的说话方式是省略掉一些冗余的词语，使句子更加简洁明了。因此，他可能会将“要不然连个名分都没有”这个句子说成“要不然没名分”。
那你还是打印电子版的吧	我们有个项目还专门雇人聊天	gpt-35-turbo	stop	根据小张的说话方式，他可能会将句子简化为“我们有个项目还专门雇人”。
这个公司太坑了	其他的部门也没一个发的	gpt-35-turbo	stop	根据小张的说话方式，他可能会说成“其他部门也没一个发的”。
之前那个手机短信实在太麻烦了	他这个楼的公共区域很好	gpt-35-turbo	stop	根据小张的说话方式，他会省略掉“楼的公共区域”中的“这个”，因此他可能会说成“他楼公共区域很好”。
哎我也是这个点起来的	我觉得我要改变	gpt-35-turbo	stop	小张的说话方式是省略掉一些显而易见的信息，只保留关键的部分。因此，他可能会将“我觉得我要改变”简化为“我要改变”。
我很少和她私聊	我还在网上败但现在多在商场	gpt-35-turbo	stop	小张的说话方式是省略掉一些不必要的信息，只保留最关键的部分。因此，他可能会把“我还在网上败但现在多在商场”简化为“我现在多在商场”。
我以后向你学习	我是给我爱人定的	gpt-35-turbo	stop	根据小张的说话方式，他可能会说成“我是给我爱人定”。
要不我还是周三周五去吧	我做好给您	gpt-35-turbo	stop	根据小张的说话方式，他倾向于省略掉一些不必要的信息，只保留最关键的部分。因此，他可能会将“我做好给您”简化为“做好给您”。
这个书已经出了	他这个楼的公共区域很好	gpt-35-turbo	stop	小张的说话方式是省略主语，只保留谓语和宾语。因此，他可能会说“公共区域很好”。
这个直接在格子里改	我要跟家长说说	gpt-35-turbo	stop	根据小张的说话方式，他会省略掉一些不必要的词语或信息。因此，他可能会将“我要跟家长说说”简化为“我要跟家长说”。
家庭比事业重要	我爱人办完事会跟你们联系	gpt-35-turbo	stop	小张的说话方式是省略掉一些词语或短语，只保留最重要的部分。因此，他可能会将“我爱人办完事会跟你们联系”简化为“我爱人联系你们”。
我们现在客户需要这类的图书	你办个招行和广发的就行	gpt-35-turbo	stop	小张的说话方式是省略掉了一些具体的描述词或形容词，只保留了最核心的词汇。因此，他可能会将“你办个招行和广发的就行”简化为“你办个银行就行”。
这领导说不定哪天就变了的	我在这边看到这种的卖的很贵	gpt-35-turbo	stop	根据小张的说话方式，他可能会将“这种的卖的很贵”简化为“这种卖的很贵的”。
